0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Pose
145.0,164.0,157.0,180.0,202.0,170.0,201.0,209.0,198.0,-1.0,-1.0,209.0,224.0,238.0,142.0,145.0,140.0,147.0,sitting
147.0,164.0,155.0,180.0,204.0,170.0,201.0,209.0,196.0,-1.0,-1.0,209.0,222.0,238.0,143.0,145.0,139.0,147.0,sitting
145.0,162.0,155.0,180.0,204.0,170.0,201.0,209.0,195.0,-1.0,-1.0,209.0,222.0,236.0,143.0,145.0,140.0,147.0,sitting
146.0,162.0,155.0,180.0,204.0,170.0,201.0,210.0,197.0,-1.0,-1.0,207.0,222.0,-1.0,141.0,145.0,139.0,147.0,sitting
146.0,164.0,157.0,180.0,204.0,170.0,201.0,209.0,197.0,-1.0,-1.0,209.0,224.0,240.0,141.0,145.0,139.0,149.0,sitting
146.0,164.0,157.0,180.0,201.0,170.0,201.0,209.0,198.0,214.0,217.0,211.0,215.0,228.0,143.0,145.0,139.0,149.0,sitting
146.0,164.0,157.0,180.0,204.0,170.0,201.0,210.0,198.0,-1.0,-1.0,209.0,222.0,234.0,141.0,145.0,139.0,148.0,sitting
146.0,164.0,157.0,180.0,201.0,170.0,201.0,209.0,198.0,-1.0,-1.0,209.0,222.0,230.0,141.0,145.0,139.0,150.0,sitting
146.0,59.0,53.0,180.0,202.0,60.0,72.0,209.0,197.0,-1.0,-1.0,209.0,222.0,238.0,141.0,145.0,139.0,149.0,sitting
146.0,164.0,157.0,180.0,204.0,170.0,201.0,209.0,195.0,212.0,219.0,210.0,222.0,236.0,141.0,145.0,138.0,149.0,sitting
145.0,164.0,157.0,180.0,202.0,170.0,201.0,210.0,203.0,221.0,240.0,210.0,222.0,238.0,143.0,145.0,139.0,149.0,sitting
145.0,164.0,157.0,180.0,202.0,170.0,201.0,210.0,199.0,212.0,219.0,208.0,222.0,230.0,140.0,143.0,140.0,147.0,sitting
145.0,164.0,157.0,180.0,202.0,170.0,201.0,210.0,198.0,214.0,221.0,208.0,222.0,238.0,142.0,145.0,138.0,149.0,sitting
146.0,164.0,157.0,180.0,202.0,170.0,201.0,210.0,198.0,221.0,240.0,210.0,222.0,240.0,140.0,143.0,138.0,147.0,sitting
146.0,164.0,157.0,180.0,202.0,170.0,201.0,210.0,198.0,212.0,219.0,210.0,222.0,236.0,140.0,143.0,138.0,147.0,sitting
146.0,164.0,157.0,180.0,202.0,172.0,202.0,210.0,198.0,-1.0,-1.0,210.0,223.0,-1.0,141.0,143.0,138.0,147.0,sitting
144.0,164.0,157.0,180.0,202.0,170.0,201.0,210.0,196.0,195.0,-1.0,210.0,210.0,230.0,141.0,143.0,138.0,147.0,sitting
123.0,125.0,125.0,128.0,128.0,126.0,131.0,210.0,133.0,-1.0,-1.0,134.0,214.0,-1.0,123.0,143.0,123.0,147.0,sitting
144.0,164.0,157.0,180.0,202.0,170.0,202.0,208.0,196.0,-1.0,-1.0,210.0,-1.0,-1.0,141.0,143.0,139.0,147.0,sitting
144.0,164.0,157.0,182.0,202.0,170.0,200.0,209.0,194.0,-1.0,-1.0,208.0,216.0,-1.0,141.0,143.0,139.0,147.0,sitting
144.0,164.0,157.0,182.0,203.0,170.0,200.0,207.0,193.0,-1.0,-1.0,205.0,214.0,228.0,141.0,143.0,139.0,147.0,sitting
144.0,164.0,157.0,184.0,203.0,170.0,200.0,207.0,202.0,213.0,220.0,208.0,214.0,-1.0,141.0,144.0,139.0,148.0,sitting
145.0,164.0,157.0,184.0,204.0,170.0,198.0,208.0,204.0,214.0,221.0,207.0,217.0,235.0,141.0,144.0,141.0,148.0,sitting
145.0,164.0,157.0,185.0,205.0,170.0,198.0,208.0,205.0,212.0,221.0,209.0,217.0,-1.0,141.0,144.0,141.0,147.0,sitting
145.0,163.0,160.0,187.0,202.0,170.0,198.0,202.0,202.0,213.0,-1.0,209.0,220.0,-1.0,141.0,144.0,141.0,146.0,sitting
145.0,163.0,158.0,187.0,201.0,169.0,197.0,202.0,203.0,215.0,-1.0,207.0,215.0,227.0,141.0,144.0,141.0,145.0,sitting
145.0,163.0,157.0,185.0,201.0,169.0,195.0,200.0,202.0,215.0,-1.0,203.0,211.0,228.0,141.0,142.0,141.0,145.0,sitting
145.0,163.0,159.0,184.0,207.0,169.0,189.0,195.0,199.0,221.0,-1.0,200.0,208.0,226.0,139.0,142.0,139.0,145.0,sitting
145.0,163.0,159.0,183.0,209.0,168.0,188.0,195.0,199.0,-1.0,-1.0,200.0,207.0,228.0,139.0,142.0,140.0,143.0,sitting
144.0,162.0,159.0,183.0,212.0,168.0,191.0,197.0,200.0,-1.0,-1.0,201.0,205.0,228.0,141.0,141.0,140.0,147.0,sitting
146.0,161.0,158.0,186.0,212.0,167.0,188.0,196.0,201.0,-1.0,-1.0,205.0,-1.0,-1.0,143.0,143.0,140.0,-1.0,sitting
148.0,163.0,160.0,186.0,212.0,166.0,187.0,195.0,199.0,-1.0,-1.0,204.0,-1.0,-1.0,143.0,145.0,142.0,-1.0,sitting
147.0,162.0,159.0,185.0,212.0,165.0,181.0,190.0,200.0,-1.0,-1.0,198.0,209.0,229.0,144.0,144.0,141.0,-1.0,sitting
147.0,161.0,158.0,187.0,211.0,164.0,180.0,187.0,209.0,-1.0,-1.0,200.0,209.0,229.0,143.0,146.0,142.0,-1.0,sitting
146.0,161.0,158.0,186.0,211.0,163.0,179.0,189.0,208.0,-1.0,-1.0,198.0,207.0,227.0,142.0,145.0,142.0,-1.0,sitting
145.0,160.0,157.0,188.0,211.0,160.0,179.0,188.0,210.0,-1.0,-1.0,200.0,-1.0,-1.0,140.0,142.0,139.0,-1.0,sitting
145.0,160.0,157.0,188.0,211.0,160.0,178.0,188.0,208.0,-1.0,-1.0,196.0,199.0,229.0,142.0,142.0,140.0,-1.0,sitting
145.0,205.0,206.0,188.0,211.0,208.0,176.0,185.0,209.0,-1.0,-1.0,222.0,-1.0,-1.0,142.0,144.0,140.0,-1.0,sitting
144.0,202.0,206.0,188.0,211.0,196.0,177.0,185.0,205.0,-1.0,-1.0,220.0,201.0,229.0,141.0,143.0,138.0,-1.0,sitting
144.0,159.0,156.0,188.0,211.0,160.0,178.0,188.0,204.0,-1.0,-1.0,193.0,195.0,229.0,141.0,143.0,140.0,-1.0,sitting
